feature,importance
director_Renny Harlin,0.0020351670682430267
director_John Carpenter,0.000966787280049175
director_Walter Hill,0.0008006751304492354
director_Richard Linklater,0.0007883512298576534
director_Blake Edwards,0.001337090041488409
director_Tony Scott,0.0006529093952849507
director_Garry Marshall,0.0014522989513352513
director_Roland Emmerich,0.0015925148036330938
director_Paul Schrader,0.002913079923018813
director_Bruce Beresford,0.0004369888047222048
director_Stephen Herek,2.026589027082082e-05
director_Phillip Noyce,0.0005808881833218038
director_Dennis Dugan,0.0009008063934743404
director_M. Night Shyamalan,0.003174752229824662
director_Norman Jewison,0.0006798186805099249
director_Andrew Davis,0.0004917618934996426
director_Barry Sonnenfeld,0.0012334652710705996
director_Rob Cohen,0.0011455189669504762
director_Christopher Nolan,0.002441060496494174
director_Stanley Kubrick,0.0002760629286058247
director_Bob Clark,0.006800477392971516
director_Raja Gosnell,0.002647535875439644
director_Uwe Boll,0.006360150873661041
director_Robert Redford,0.0002750570420175791
director_Frank Oz,0.0010892829159274697
director_James Foley,0.003594480687752366
director_Wayne Wang,0.0010548002319410443
director_Stephen Sommers,0.0029403450898826122
director_Joe Johnston,0.0004975407500751317
director_J. Lee Thompson,0.0005335485911928117
director_John Boorman,0.0012539069866761565
director_Paul Mazursky,9.3295871920418e-05
director_John Dahl,0.0008857744396664202
director_Mike Newell,0.0007876639137975872
director_Wes Anderson,0.0007560111116617918
director_D.J. Caruso,0.0009766996372491121
director_Eli Roth,0.0062915263697505
director_Zack Snyder,0.0007627332815900445
director_Sylvester Stallone,0.002019267063587904
director_James Ivory,0.0017503340495750308
director_Andrew Fleming,0.0009665262186899781
director_Brian Levant,0.0011710552498698235
director_Jake Kasdan,0.0013761504087597132
director_David Ayer,0.0006519902381114662
director_Aaron Seltzer,0.016295239329338074
director_Michael Cimino,0.00011828036804217845
director_Danny DeVito,0.0006027859053574502
director_Bill Duke,0.0006407469045370817
director_Ernest R. Dickerson,0.0010824172059074044
director_Ringo Lam,0.00014760055637452751
director_Mira Nair,0.00021962319442536682
director_Sofia Coppola,0.0016105823451653123
director_Yimou Zhang,0.0008859313675202429
director_Timur Bekmambetov,0.0013766803313046694
director_Marius Balchunas,0.0022791759110987186
director_James Franco,0.0012602034257724881
director_Steven C. Miller,0.001257660100236535
director_Terence Young,0.002072641160339117
director_Richard Fleischer,0.001607994083315134
director_Michael Winner,0.0008495026268064976
director_John Guillermin,0.0012217435287311673
director_Martin Brest,0.0043815854005515575
director_Stewart Raffill,0.0021201204508543015
director_Christopher Guest,0.0014896065695211291
director_Wim Wenders,0.0017389701679348946
director_John Whitesell,0.0006375400698743761
director_Michael Corrente,0.0006849351339042187
director_Jan de Bont,0.0019416182767599821
director_Nikita Mikhalkov,0.008602280169725418
director_Jonathan Mostow,0.0012082685716450214
director_Gary Ross,0.0010047208052128553
director_Mark Steven Johnson,0.0008116369717754424
director_Peter Chelsom,0.001542216632515192
director_John Schultz,0.0011219788575544953
director_Andrzej Bartkowiak,0.001126543153077364
director_Kirk Jones,0.0011533431243151426
director_Steven Brill,0.0025141723453998566
director_John Lee Hancock,0.0001738633873173967
