feature,importance
actor_Rachel McAdams,0.0012476540869101882
actor_Woody Allen,0.0003779643157031387
actor_Helena Bonham Carter,0.0011348100379109383
actor_Famke Janssen,0.0012224519159644842
actor_Casey Affleck,0.00042354335892014205
actor_Edward Norton,0.00182441552169621
actor_Chris Hemsworth,0.0005999866989441216
actor_Sally Field,0.0054120891727507114
actor_Michael Fassbender,0.006798102054744959
actor_Rene Russo,0.003764650784432888
actor_Billy Crudup,0.000558259547688067
actor_Ryan Gosling,0.0016357199056074023
actor_Kevin Hart,0.002964864717796445
actor_Emma Stone,0.0014128945767879486
actor_Paul Newman,0.00023600859276484698
actor_Maggie Smith,0.0008413932519033551
actor_Jada Pinkett Smith,0.0010911383433267474
actor_Anthony Anderson,0.0005549048073589802
actor_Clive Owen,0.001322394935414195
actor_Shia LaBeouf,0.0006817927933298051
actor_Mila Kunis,0.0018227099208161235
actor_Oscar Isaac,0.002448034705594182
actor_Zac Efron,0.0014462099643424153
actor_Joan Allen,0.00037916816654615104
actor_Helen Hunt,0.000746661564335227
actor_Jason Lee,0.007069589104503393
actor_Stanley Tucci,0.0007022637873888016
actor_Jean Reno,0.0007306222105398774
actor_Carla Gugino,0.0005378753994591534
actor_Abigail Breslin,0.000999328913167119
actor_Danny Huston,0.0004923549713566899
actor_Kristen Wiig,0.0017350047128275037
actor_Jonah Hill,0.0012524888152256608
actor_Goldie Hawn,0.0010745079489424825
actor_Patrick Stewart,0.001808272092603147
actor_Sarah Jessica Parker,0.0027481343131512403
actor_Alfre Woodard,0.01254189945757389
actor_Kristin Scott Thomas,0.0004283726739231497
actor_Taraji P. Henson,0.001059295260347426
actor_Eric Bana,0.0006228950223885477
actor_Chris Pratt,0.01663959212601185
actor_Kevin James,0.0030833897180855274
actor_Chris Pine,0.001310455845668912
actor_Tom Hardy,0.0007397726294584572
actor_Rick Moranis,0.0023263737093657255
actor_Daniel Radcliffe,0.0008815379114821553
actor_Nicholas Hoult,0.000592726981267333
actor_Zach Galifianakis,0.00042869357275776565
actor_Kristen Bell,0.007919905707240105
actor_Josh Gad,0.017617961391806602
actor_Amanda Seyfried,0.01136032585054636
actor_Barbra Streisand,0.0017642687307670712
actor_Ryan O'Neal,0.0007249214104376733
actor_Michelle Rodriguez,0.003557107876986265
actor_Tyrese Gibson,0.005607921630144119
actor_Sacha Baron Cohen,0.001007939106784761
actor_Daniel Stern,0.000749034050386399
actor_Blythe Danner,0.0008007566211745143
actor_Catherine O'Hara,0.001905234414152801
actor_Allison Janney,0.004439798649400473
actor_Karl Urban,0.002094223629683256
actor_Vanessa Hudgens,0.001654747175052762
actor_Christoph Waltz,0.003859824500977993
actor_Tyler Perry,4.354849806986749e-05
actor_Octavia Spencer,0.0005826794658787549
actor_Dave Bautista,0.004017424304038286
